xflr5 v6.10.03

Wing name :        wing014
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.500   0.162561   0.001278   0.022557   0.023835   0.000000  -0.000000   0.006433   0.000000  -0.000000   40.0000     0.0356
   -3.000   0.204487   0.001541   0.020991   0.022532   0.000000   0.000000   0.025916   0.000000  -0.000000   40.0000    -0.0128
   -2.500   0.246393   0.001904   0.019486   0.021390   0.000000   0.000000   0.045396   0.000000  -0.000000   40.0000    -0.0448
   -2.000   0.288268   0.002367   0.018014   0.020381   0.000000   0.000000   0.064873   0.000000  -0.000000   40.0000    -0.0674
   -1.500   0.330104   0.002930   0.016512   0.019442  -0.000000   0.000000   0.084342   0.000000  -0.000000   40.0000    -0.0844
   -1.000   0.371894   0.003592   0.014908   0.018500  -0.000000   0.000000   0.103801   0.000000  -0.000000   40.0000    -0.0975
   -0.500   0.413628   0.004353   0.013306   0.017659  -0.000000   0.000000   0.123235   0.000000  -0.000000   40.0000    -0.1080
    0.000   0.455299   0.005213   0.012031   0.017244  -0.000000   0.000000   0.142630   0.000000  -0.000000   40.0000    -0.1165
    0.500   0.496898   0.006171   0.011283   0.017454  -0.000000   0.000000   0.161981   0.000000  -0.000000   40.0000    -0.1237
    1.000   0.538416   0.007226   0.010924   0.018150  -0.000000   0.000000   0.181296   0.000000  -0.000000   40.0000    -0.1297
    1.500   0.579846   0.008379   0.010753   0.019132  -0.000000   0.000000   0.200581   0.000000  -0.000000   40.0000    -0.1349
    2.000   0.621179   0.009627   0.010711   0.020338  -0.000000   0.000000   0.219832   0.000000   0.000000   40.0000    -0.1394
    2.500   0.662407   0.010971   0.010731   0.021701  -0.000000   0.000000   0.239047   0.000000   0.000000   40.0000    -0.1434
    3.000   0.703522   0.012409   0.010780   0.023189  -0.000000   0.000000   0.258221   0.000000  -0.000000   40.0000    -0.1469
    3.500   0.744515   0.013940   0.010858   0.024799  -0.000000   0.000000   0.277349   0.000000   0.000000   40.0000    -0.1500
    4.000   0.785379   0.015564   0.010984   0.026548  -0.000000   0.000000   0.296426   0.000000  -0.000000   40.0000    -0.1529
    4.500   0.826106   0.017279   0.011173   0.028452  -0.000000   0.000000   0.315444   0.000000   0.000000   40.0000    -0.1554
    5.000   0.866688   0.019084   0.011399   0.030484  -0.000000   0.000000   0.334399   0.000000   0.000000   40.0000    -0.1578


