xflr5 v6.10.03

Wing name :        wing020
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.500   0.255439   0.003421   0.016473   0.019894  -0.000000   0.000000   0.168740   0.000000  -0.000000   40.0000    -0.2589
   -1.000   0.297159   0.003740   0.015011   0.018752  -0.000000   0.000000   0.192531   0.000000  -0.000000   40.0000    -0.2511
   -0.500   0.338843   0.004158   0.013540   0.017698   0.000000   0.000000   0.216278   0.000000  -0.000000   40.0000    -0.2452
    0.000   0.380485   0.004674   0.012264   0.016939   0.000000   0.000000   0.239971   0.000000  -0.000000   40.0000    -0.2406
    0.500   0.422074   0.005289   0.011483   0.016772  -0.000000   0.000000   0.263605   0.000000   0.000000   40.0000    -0.2370
    1.000   0.463604   0.006001   0.011063   0.017064  -0.000000   0.000000   0.287186   0.000000  -0.000000   40.0000    -0.2340
    1.500   0.505065   0.006811   0.010803   0.017614   0.000000  -0.000000   0.310712   0.000000  -0.000000   40.0000    -0.2315
    2.000   0.546449   0.007717   0.010747   0.018464   0.000000  -0.000000   0.334181   0.000000  -0.000000   40.0000    -0.2294
    2.500   0.587749   0.008720   0.010773   0.019493  -0.000000   0.000000   0.357586   0.000000  -0.000000   40.0000    -0.2276
    3.000   0.628955   0.009818   0.010838   0.020656   0.000000   0.000000   0.380922   0.000000  -0.000000   40.0000    -0.2261
    3.500   0.670060   0.011011   0.010936   0.021947  -0.000000   0.000000   0.404184  -0.000000   0.000000   40.0000    -0.2248
    4.000   0.711056   0.012298   0.011097   0.023395   0.000000  -0.000000   0.427365  -0.000000   0.000000   40.0000    -0.2236
    4.500   0.751934   0.013678   0.011323   0.025001  -0.000000  -0.000000   0.450462  -0.000000  -0.000000   40.0000    -0.2226
    5.000   0.792687   0.015150   0.011556   0.026706   0.000000   0.000000   0.473464  -0.000000   0.000000   40.0000    -0.2217


