xflr5 v6.10.03

Wing name :        wing020
Wing polar name :  T1-40.0 m/s-Panel
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.500   0.255555   0.003054   0.016922   0.019976   0.000000  -0.000000   0.156706   0.000000   0.000000   40.0000    -0.2405
   -1.000   0.297033   0.003387   0.015485   0.018872  -0.000000  -0.000000   0.181837   0.000000   0.000000   40.0000    -0.2375
   -0.500   0.338483   0.003819   0.013981   0.017800  -0.000000  -0.000000   0.207008   0.000000   0.000000   40.0000    -0.2354
    0.000   0.379901   0.004349   0.012601   0.016950  -0.000000  -0.000000   0.232207   0.000000   0.000000   40.0000    -0.2338
    0.500   0.421279   0.004977   0.011711   0.016688  -0.000000  -0.000000   0.257425   0.000000   0.000000   40.0000    -0.2327
    1.000   0.462614   0.005704   0.011193   0.016897  -0.000000  -0.000000   0.282668   0.000000   0.000000   40.0000    -0.2319
    1.500   0.503897   0.006527   0.010894   0.017422  -0.000000  -0.000000   0.307935   0.000000   0.000000   40.0000    -0.2313
    2.000   0.545125   0.007448   0.010820   0.018269  -0.000000  -0.000000   0.333223   0.000000   0.000000   40.0000    -0.2309
    2.500   0.586291   0.008466   0.010828   0.019293  -0.000000  -0.000000   0.358527   0.000000   0.000000   40.0000    -0.2307
    3.000   0.627390   0.009579   0.010882   0.020460  -0.000000  -0.000000   0.383839   0.000000   0.000000   40.0000    -0.2306
    3.500   0.668416   0.010787   0.010958   0.021745  -0.000000  -0.000000   0.409152   0.000000   0.000000   40.0000    -0.2306
    4.000   0.709363   0.012090   0.011076   0.023166  -0.000000  -0.000000   0.434460  -0.000000  -0.000000   40.0000    -0.2306
    4.500   0.750226   0.013486   0.011254   0.024740  -0.000000  -0.000000   0.459759  -0.000000  -0.000000   40.0000    -0.2308
    5.000   0.790999   0.014974   0.011486   0.026461  -0.000000  -0.000000   0.485041  -0.000000  -0.000000   40.0000    -0.2310


