xflr5 v6.10.03

Wing name :        wing018
Wing polar name :  T1-40.0 m/s-LLT
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.500   0.136995   0.002388   0.019773   0.022161   0.000000   0.000000   0.086484   0.000000  -0.000000   40.0000    -0.2747
   -2.000   0.201111   0.002948   0.016334   0.019282   0.000000  -0.000000   0.126423  -0.000000  -0.000000   40.0000    -0.2578
   -1.500   0.260446   0.003615   0.013343   0.016958   0.000000   0.000000   0.162335  -0.000000  -0.000000   40.0000    -0.2390
   -1.000   0.315220   0.004356   0.010953   0.015309   0.000000   0.000000   0.194662  -0.000000  -0.000000   40.0000    -0.2334
   -0.500   0.362460   0.005000   0.010352   0.015352   0.000000   0.000000   0.222236  -0.000000  -0.000000   40.0000    -0.2150
    0.000   0.408189   0.005710   0.010237   0.015947   0.000000   0.000000   0.248739  -0.000000  -0.000000   40.0000    -0.5345
    0.500   0.453602   0.006521   0.010200   0.016721   0.000000   0.000000   0.274964  -0.000000  -0.000000   40.0000    -0.2744
    1.000   0.498799   0.007437   0.010193   0.017630   0.000000   0.000000   0.300988  -0.000000  -0.000000   40.0000    -0.2488
    1.500   0.543755   0.008458   0.010226   0.018684   0.000000   0.000000   0.326772  -0.000000  -0.000000   40.0000    -0.2406
    2.000   0.588535   0.009585   0.010270   0.019856   0.000000   0.000000   0.352340  -0.000000  -0.000000   40.0000    -0.2358
    2.500   0.633125   0.010819   0.010346   0.021165   0.000000   0.000000   0.377734  -0.000000  -0.000000   40.0000    -0.2324
    3.000   0.677443   0.012154   0.010474   0.022627   0.000000   0.000000   0.402942  -0.000000  -0.000000   40.0000    -0.2299
    3.500   0.721609   0.013593   0.010611   0.024205   0.000000   0.000000   0.427981  -0.000000  -0.000000   40.0000    -0.2279
    4.000   0.765463   0.015131   0.010790   0.025921   0.000000  -0.000000   0.452751  -0.000000  -0.000000   40.0000    -0.2263
    4.500   0.808284   0.016741   0.011103   0.027844   0.000000   0.000000   0.476614  -0.000000  -0.000000   40.0000    -0.2247
    5.000   0.850836   0.018445   0.011428   0.029873   0.000000   0.000000   0.500246  -0.000000  -0.000000   40.0000    -0.2235


