xflr5 v6.10.03

Wing name :        Basis lunate fwd sweep 02
Wing polar name :  T1-40.0 m/s-LLT-0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000   0.226467   0.001431   0.024747   0.026178   0.000000  -0.000000  -0.110190  -0.000000   0.000000   40.0000     0.2844
   -3.500   0.290645   0.002255   0.020834   0.023090   0.000000  -0.000000  -0.104650  -0.000000  -0.000000   40.0000     0.2063
   -3.000   0.353500   0.003272   0.016858   0.020129   0.000000   0.000000  -0.099481  -0.000000  -0.000000   40.0000     0.1605
   -2.500   0.413219   0.004469   0.012567   0.017035   0.000000  -0.000000  -0.095323  -0.000000  -0.000000   40.0000     0.1314
   -2.000   0.464528   0.005681   0.010515   0.016196   0.000000  -0.000000  -0.090537  -0.000000  -0.000000   40.0000     0.1100
   -1.500   0.511147   0.006887   0.010146   0.017032   0.000000   0.000000  -0.083680  -0.000000  -0.000000   40.0000     0.0925
   -1.000   0.557235   0.008193   0.010031   0.018224   0.000000  -0.000000  -0.076556  -0.000000  -0.000000   40.0000     0.0775
   -0.500   0.603173   0.009603   0.009988   0.019591   0.000000  -0.000000  -0.069239  -0.000000  -0.000000   40.0000     0.0645
    0.000   0.649022   0.011121   0.009951   0.021072   0.000000  -0.000000  -0.061892  -0.000000  -0.000000   40.0000     0.0534
    0.500   0.694875   0.012750   0.009884   0.022633   0.000000   0.000000  -0.054544  -0.000000  -0.000000   40.0000     0.0438
    1.000   0.740636   0.014484   0.009833   0.024318   0.000000   0.000000  -0.047139  -0.000000  -0.000000   40.0000     0.0352
    1.500   0.786235   0.016323   0.009817   0.026141   0.000000   0.000000  -0.039729  -0.000000  -0.000000   40.0000     0.0277
    2.000   0.831712   0.018268   0.009812   0.028080   0.000000   0.000000  -0.032360  -0.000000  -0.000000   40.0000     0.0210
    2.500   0.877038   0.020318   0.009827   0.030145   0.000000   0.000000  -0.025049  -0.000000  -0.000000   40.0000     0.0150
    3.000   0.922274   0.022474   0.009844   0.032318   0.000000   0.000000  -0.017800  -0.000000  -0.000000   40.0000     0.0095
    3.500   0.967327   0.024731   0.009886   0.034616   0.000000  -0.000000  -0.010577  -0.000000  -0.000000   40.0000     0.0046
    4.000   1.011951   0.027076   0.010002   0.037078   0.000000  -0.000000  -0.003412  -0.000000  -0.000000   40.0000     0.0002
    4.500   1.055879   0.029495   0.010237   0.039732   0.000000  -0.000000   0.003660  -0.000000  -0.000000   40.0000    -0.0040
    5.000   1.099328   0.031996   0.010541   0.042538   0.000000   0.000000   0.010633  -0.000000  -0.000000   40.0000    -0.0077
    5.500   1.142633   0.034593   0.010855   0.045448   0.000000  -0.000000   0.017530  -0.000000  -0.000000   40.0000    -0.0111
    6.000   1.185749   0.037278   0.011184   0.048462   0.000000  -0.000000   0.024406  -0.000000  -0.000000   40.0000    -0.0144
    6.500   1.228619   0.040047   0.011535   0.051582   0.000000   0.000000   0.031259  -0.000000  -0.000000   40.0000    -0.0174
    7.000   1.270989   0.042884   0.011950   0.054834   0.000000  -0.000000   0.038067  -0.000000  -0.000000   40.0000    -0.0203
    7.500   1.312830   0.045794   0.012412   0.058206   0.000000  -0.000000   0.044752  -0.000000  -0.000000   40.0000    -0.0230
    8.000   1.354230   0.048778   0.012905   0.061683   0.000000  -0.000000   0.051311  -0.000000  -0.000000   40.0000    -0.0255
    8.500   1.395336   0.051843   0.013405   0.065248   0.000000   0.000000   0.057764  -0.000000  -0.000000   40.0000    -0.0278
    9.000   1.435745   0.054960   0.013973   0.068933   0.000000  -0.000000   0.064109  -0.000000  -0.000000   40.0000    -0.0300
    9.500   1.475226   0.058120   0.014633   0.072752   0.000000  -0.000000   0.070305  -0.000000  -0.000000   40.0000    -0.0321
   10.000   1.513752   0.061290   0.015393   0.076683   0.000000  -0.000000   0.076368  -0.000000  -0.000000   40.0000    -0.0341


