xflr5 v6.10.03

Wing name :        Fwd sweep 02 10 washout
Wing polar name :  T1-40.0 m/s-LLT-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    3.500   0.825115   0.024113   0.011480   0.035593   0.000000   0.000000  -0.073638  -0.000000  -0.000000   40.0000     0.0486
    4.000   0.873129   0.026179   0.010962   0.037141   0.000000   0.000000  -0.065370  -0.000000  -0.000000   40.0000     0.0403
    4.500   0.919704   0.028386   0.010752   0.039138   0.000000   0.000000  -0.057385  -0.000000  -0.000000   40.0000     0.0331
    5.000   0.965207   0.030709   0.010724   0.041433   0.000000   0.000000  -0.049634  -0.000000  -0.000000   40.0000     0.0267
    5.500   1.010256   0.033138   0.010771   0.043910   0.000000   0.000000  -0.042003  -0.000000  -0.000000   40.0000     0.0210
    6.000   1.054915   0.035675   0.010884   0.046559   0.000000   0.000000  -0.034490  -0.000000  -0.000000   40.0000     0.0158
    6.500   1.098954   0.038304   0.011093   0.049396   0.000000   0.000000  -0.027080  -0.000000  -0.000000   40.0000     0.0110
    7.000   1.142668   0.041020   0.011337   0.052357   0.000000   0.000000  -0.019698  -0.000000  -0.000000   40.0000     0.0066
    7.500   1.186202   0.043819   0.011591   0.055410   0.000000   0.000000  -0.012298  -0.000000  -0.000000   40.0000     0.0025
    8.000   1.229239   0.046696   0.011894   0.058590   0.000000   0.000000  -0.005000  -0.000000  -0.000000   40.0000    -0.0014
    8.500   1.272042   0.049658   0.012206   0.061864   0.000000   0.000000   0.002239  -0.000000  -0.000000   40.0000    -0.0049
    9.000   1.314421   0.052698   0.012565   0.065263   0.000000   0.000000   0.009401  -0.000000  -0.000000   40.0000    -0.0083
    9.500   1.356295   0.055795   0.012975   0.068770   0.000000   0.000000   0.016547  -0.000000  -0.000000   40.0000    -0.0115
   10.000   1.397426   0.058930   0.013470   0.072400   0.000000   0.000000   0.023682  -0.000000  -0.000000   40.0000    -0.0145


