xflr5 v6.10.03

Wing name :        Fwd sweep 02 25 washin
Wing polar name :  T1-40.0 m/s-LLT-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000   0.279062   0.001922   0.021207   0.023129   0.000000  -0.000000  -0.090529  -0.000000   0.000000   40.0000     0.1904
   -3.500   0.338052   0.002805   0.017957   0.020762   0.000000  -0.000000  -0.086715  -0.000000   0.000000   40.0000     0.1480
   -3.000   0.395111   0.003842   0.014833   0.018675   0.000000  -0.000000  -0.083198  -0.000000  -0.000000   40.0000     0.1202
   -2.500   0.449609   0.005018   0.011809   0.016827   0.000000  -0.000000  -0.080138  -0.000000   0.000000   40.0000     0.1018
   -2.000   0.498889   0.006232   0.010435   0.016667   0.000000  -0.000000  -0.075203  -0.000000  -0.000000   40.0000     0.0854
   -1.500   0.545432   0.007478   0.010082   0.017561   0.000000  -0.000000  -0.068307  -0.000000  -0.000000   40.0000     0.0709
   -1.000   0.591553   0.008827   0.009923   0.018749   0.000000  -0.000000  -0.061141  -0.000000  -0.000000   40.0000     0.0584
   -0.500   0.637389   0.010278   0.009861   0.020139   0.000000  -0.000000  -0.053870  -0.000000  -0.000000   40.0000     0.0476
    0.000   0.683149   0.011837   0.009805   0.021642   0.000000  -0.000000  -0.046594  -0.000000  -0.000000   40.0000     0.0381
    0.500   0.728827   0.013503   0.009756   0.023259   0.000000  -0.000000  -0.039317  -0.000000  -0.000000   40.0000     0.0300
    1.000   0.774339   0.015272   0.009753   0.025025   0.000000  -0.000000  -0.032008  -0.000000  -0.000000   40.0000     0.0227
    1.500   0.819748   0.017147   0.009768   0.026915   0.000000  -0.000000  -0.024695  -0.000000  -0.000000   40.0000     0.0161
    2.000   0.865026   0.019126   0.009801   0.028927   0.000000   0.000000  -0.017419  -0.000000  -0.000000   40.0000     0.0104
    2.500   0.910201   0.021211   0.009841   0.031051   0.000000  -0.000000  -0.010196  -0.000000  -0.000000   40.0000     0.0052
    3.000   0.955238   0.023400   0.009890   0.033290   0.000000  -0.000000  -0.003053  -0.000000  -0.000000   40.0000     0.0004
    3.500   0.999829   0.025679   0.010009   0.035688   0.000000  -0.000000   0.003972  -0.000000  -0.000000   40.0000    -0.0038
    4.000   1.043783   0.028038   0.010230   0.038269   0.000000  -0.000000   0.010875  -0.000000  -0.000000   40.0000    -0.0077
    4.500   1.087173   0.030474   0.010541   0.041015   0.000000  -0.000000   0.017714  -0.000000  -0.000000   40.0000    -0.0113
    5.000   1.130293   0.032998   0.010881   0.043879   0.000000  -0.000000   0.024511  -0.000000  -0.000000   40.0000    -0.0146
    5.500   1.173347   0.035616   0.011211   0.046827   0.000000  -0.000000   0.031271  -0.000000  -0.000000   40.0000    -0.0177
    6.000   1.216162   0.038321   0.011560   0.049881   0.000000  -0.000000   0.037995  -0.000000  -0.000000   40.0000    -0.0206
    6.500   1.258532   0.041100   0.011958   0.053058   0.000000  -0.000000   0.044618  -0.000000  -0.000000   40.0000    -0.0233
    7.000   1.300278   0.043942   0.012434   0.056377   0.000000  -0.000000   0.051151  -0.000000  -0.000000   40.0000    -0.0258
    7.500   1.341517   0.046854   0.012948   0.059802   0.000000  -0.000000   0.057576  -0.000000  -0.000000   40.0000    -0.0282
    8.000   1.382306   0.049840   0.013482   0.063322   0.000000   0.000000   0.063837  -0.000000  -0.000000   40.0000    -0.0304
    8.500   1.422430   0.052888   0.014067   0.066955   0.000000   0.000000   0.069872  -0.000000  -0.000000   40.0000    -0.0325
    9.000   1.461588   0.055973   0.014743   0.070717   0.000000  -0.000000   0.075707  -0.000000  -0.000000   40.0000    -0.0344
    9.500   1.499797   0.059097   0.015484   0.074581   0.000000  -0.000000   0.081376  -0.000000  -0.000000   40.0000    -0.0362
   10.000   1.536749   0.062239   0.016302   0.078541   0.000000  -0.000000   0.086803  -0.000000  -0.000000   40.0000    -0.0379


