xflr5 v6.10.03

Wing name :        Basis lunate fwd sweep 02
Wing polar name :  T1-40.0 m/s-Panel-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000   0.218050   0.001318   0.026968   0.028285  -0.000000  -0.000000  -0.123649  -0.000000  -0.000000   40.0000     0.3178
   -3.500   0.261132   0.001862   0.024408   0.026269  -0.000000  -0.000000  -0.116266  -0.000000  -0.000000   40.0000     0.2496
   -3.000   0.304190   0.002502   0.022032   0.024534  -0.000000  -0.000000  -0.108858  -0.000000  -0.000000   40.0000     0.2006
   -2.500   0.347218   0.003239   0.019628   0.022867  -0.000000  -0.000000  -0.101423  -0.000000  -0.000000   40.0000     0.1637
   -2.000   0.390210   0.004072   0.016612   0.020684  -0.000000  -0.000000  -0.093962  -0.000000  -0.000000   40.0000     0.1349
   -1.500   0.433159   0.005001   0.013388   0.018389  -0.000000  -0.000000  -0.086482  -0.000000  -0.000000   40.0000     0.1117
   -1.000   0.476062   0.006025   0.011472   0.017496  -0.000000  -0.000000  -0.078988  -0.000000  -0.000000   40.0000     0.0927
   -0.500   0.518911   0.007143   0.010864   0.018007  -0.000000  -0.000000  -0.071472  -0.000000  -0.000000   40.0000     0.0767
    0.000   0.561700   0.008356   0.010608   0.018964  -0.000000  -0.000000  -0.063936  -0.000000  -0.000000   40.0000     0.0632
    0.500   0.604425   0.009663   0.010486   0.020149  -0.000000  -0.000000  -0.056380  -0.000000  -0.000000   40.0000     0.0515
    1.000   0.647079   0.011062   0.010399   0.021462  -0.000000  -0.000000  -0.048807  -0.000000  -0.000000   40.0000     0.0413
    1.500   0.689657   0.012554   0.010334   0.022888  -0.000000  -0.000000  -0.041221  -0.000000  -0.000000   40.0000     0.0323
    2.000   0.732154   0.014136   0.010306   0.024442  -0.000000  -0.000000  -0.033624   0.000000   0.000000   40.0000     0.0243
    2.500   0.774562   0.015809   0.010300   0.026109  -0.000000  -0.000000  -0.026019   0.000000   0.000000   40.0000     0.0171
    3.000   0.816877   0.017572   0.010312   0.027884  -0.000000  -0.000000  -0.018408   0.000000   0.000000   40.0000     0.0107
    3.500   0.859094   0.019423   0.010313   0.029735  -0.000000  -0.000000  -0.010792   0.000000   0.000000   40.0000     0.0048
    4.000   0.901206   0.021360   0.010331   0.031691  -0.000000  -0.000000  -0.003174   0.000000   0.000000   40.0000    -0.0006
    4.500   0.943209   0.023384   0.010354   0.033738  -0.000000  -0.000000   0.004444   0.000000   0.000000   40.0000    -0.0055
    5.000   0.985096   0.025493   0.010377   0.035870  -0.000000  -0.000000   0.012060   0.000000   0.000000   40.0000    -0.0101
    5.500   1.026862   0.027685   0.010425   0.038109  -0.000000  -0.000000   0.019672   0.000000   0.000000   40.0000    -0.0143
    6.000   1.068502   0.029958   0.010521   0.040479  -0.000000  -0.000000   0.027278   0.000000   0.000000   40.0000    -0.0183
    6.500   1.110011   0.032313   0.010718   0.043031  -0.000000  -0.000000   0.034880   0.000000   0.000000   40.0000    -0.0219
    7.000   1.151383   0.034746   0.011006   0.045752  -0.000000  -0.000000   0.042473   0.000000   0.000000   40.0000    -0.0254
    7.500   1.192613   0.037257   0.011343   0.048599  -0.000000  -0.000000   0.050053   0.000000   0.000000   40.0000    -0.0287
    8.000   1.233695   0.039843   0.011701   0.051544  -0.000000  -0.000000   0.057617   0.000000   0.000000   40.0000    -0.0318
    8.500   1.274625   0.042504   0.012064   0.054568  -0.000000  -0.000000   0.065163   0.000000   0.000000   40.0000    -0.0347
    9.000   1.315398   0.045236   0.012408   0.057645  -0.000000  -0.000000   0.072691   0.000000   0.000000   40.0000    -0.0375
    9.500   1.356008   0.048040   0.012812   0.060852  -0.000000  -0.000000   0.080201   0.000000   0.000000   40.0000    -0.0402
   10.000   1.396450   0.050912   0.013285   0.064197  -0.000000  -0.000000   0.087693   0.000000   0.000000   40.0000    -0.0428


