xflr5 v6.10.03

Wing name :        Fwd sweep 02 5 washin
Wing polar name :  T1-40.0 m/s-Panel-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.500   0.241942   0.001687   0.025659   0.027346  -0.000000  -0.000000  -0.101847  -0.000000  -0.000000   40.0000     0.2365
   -4.000   0.285000   0.002209   0.023332   0.025541  -0.000000  -0.000000  -0.094437  -0.000000  -0.000000   40.0000     0.1863
   -3.500   0.328032   0.002828   0.021119   0.023946  -0.000000  -0.000000  -0.087002  -0.000000  -0.000000   40.0000     0.1491
   -3.000   0.371035   0.003542   0.018994   0.022536  -0.000000  -0.000000  -0.079542  -0.000000  -0.000000   40.0000     0.1205
   -2.500   0.414001   0.004353   0.016877   0.021229  -0.000000  -0.000000  -0.072060  -0.000000  -0.000000   40.0000     0.0978
   -2.000   0.456924   0.005259   0.014438   0.019697  -0.000000  -0.000000  -0.064560  -0.000000  -0.000000   40.0000     0.0794
   -1.500   0.499800   0.006261   0.012195   0.018456  -0.000000  -0.000000  -0.057041  -0.000000  -0.000000   40.0000     0.0640
   -1.000   0.542622   0.007357   0.011095   0.018452  -0.000000  -0.000000  -0.049499  -0.000000  -0.000000   40.0000     0.0510
   -0.500   0.585385   0.008548   0.010676   0.019224  -0.000000  -0.000000  -0.041936  -0.000000  -0.000000   40.0000     0.0399
    0.000   0.628083   0.009832   0.010458   0.020290  -0.000000  -0.000000  -0.034358  -0.000000  -0.000000   40.0000     0.0302
    0.500   0.670710   0.011210   0.010331   0.021541  -0.000000  -0.000000  -0.026765  -0.000000  -0.000000   40.0000     0.0217
    1.000   0.713260   0.012680   0.010263   0.022943  -0.000000  -0.000000  -0.019160  -0.000000  -0.000000   40.0000     0.0142
    1.500   0.755728   0.014242   0.010227   0.024469  -0.000000  -0.000000  -0.011547  -0.000000  -0.000000   40.0000     0.0075
    2.000   0.798109   0.015894   0.010247   0.026141  -0.000000  -0.000000  -0.003927  -0.000000  -0.000000   40.0000     0.0015
    2.500   0.840395   0.017636   0.010291   0.027926  -0.000000  -0.000000   0.003696  -0.000000  -0.000000   40.0000    -0.0040
    3.000   0.882583   0.019466   0.010350   0.029816  -0.000000  -0.000000   0.011322  -0.000000  -0.000000   40.0000    -0.0090
    3.500   0.924666   0.021385   0.010427   0.031811  -0.000000  -0.000000   0.018948  -0.000000  -0.000000   40.0000    -0.0136
    4.000   0.966639   0.023389   0.010523   0.033912  -0.000000  -0.000000   0.026572  -0.000000  -0.000000   40.0000    -0.0179
    4.500   1.008497   0.025479   0.010638   0.036117  -0.000000  -0.000000   0.034193  -0.000000  -0.000000   40.0000    -0.0218
    5.000   1.050233   0.027653   0.010782   0.038434  -0.000000  -0.000000   0.041808  -0.000000  -0.000000   40.0000    -0.0254
    5.500   1.091843   0.029909   0.010977   0.040886  -0.000000  -0.000000   0.049417  -0.000000  -0.000000   40.0000    -0.0289
    6.000   1.133320   0.032247   0.011234   0.043481  -0.000000  -0.000000   0.057017  -0.000000  -0.000000   40.0000    -0.0321


