xflr5 v6.10.03

Wing name :        Fwd sweep 02 5 washout
Wing polar name :  T1-40.0 m/s-Panel-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000   0.323176   0.003823   0.021869   0.025693  -0.000000  -0.000000  -0.123122  -0.000000  -0.000000   40.0000     0.2128
   -1.500   0.366166   0.004677   0.018539   0.023216  -0.000000  -0.000000  -0.115688  -0.000000  -0.000000   40.0000     0.1764
   -1.000   0.409116   0.005626   0.015197   0.020823  -0.000000  -0.000000  -0.108230  -0.000000  -0.000000   40.0000     0.1475
   -0.500   0.452018   0.006670   0.013284   0.019953  -0.000000  -0.000000  -0.100754  -0.000000  -0.000000   40.0000     0.1241
    0.000   0.494867   0.007808   0.012078   0.019886  -0.000000  -0.000000  -0.093261  -0.000000  -0.000000   40.0000     0.1047
    0.500   0.537657   0.009040   0.011266   0.020306  -0.000000  -0.000000  -0.085751  -0.000000  -0.000000   40.0000     0.0883
    1.000   0.580383   0.010365   0.010803   0.021168  -0.000000  -0.000000  -0.078222  -0.000000  -0.000000   40.0000     0.0743
    1.500   0.623039   0.011783   0.010546   0.022329  -0.000000  -0.000000  -0.070676  -0.000000  -0.000000   40.0000     0.0621
    2.000   0.665619   0.013291   0.010457   0.023749  -0.000000  -0.000000  -0.063114  -0.000000  -0.000000   40.0000     0.0515
    2.500   0.708117   0.014891   0.010509   0.025400  -0.000000  -0.000000  -0.055536  -0.000000  -0.000000   40.0000     0.0421
    3.000   0.750528   0.016580   0.010579   0.027159  -0.000000  -0.000000  -0.047947  -0.000000  -0.000000   40.0000     0.0337
    3.500   0.792846   0.018358   0.010574   0.028932  -0.000000  -0.000000  -0.040351  -0.000000  -0.000000   40.0000     0.0261
    4.000   0.835066   0.020223   0.010522   0.030746  -0.000000  -0.000000  -0.032749  -0.000000  -0.000000   40.0000     0.0193
    4.500   0.877182   0.022175   0.010494   0.032669  -0.000000  -0.000000  -0.025142   0.000000   0.000000   40.0000     0.0130
    5.000   0.919189   0.024212   0.010478   0.034690  -0.000000  -0.000000  -0.017533   0.000000   0.000000   40.0000     0.0073
    5.500   0.961081   0.026332   0.010456   0.036789  -0.000000  -0.000000  -0.009925   0.000000   0.000000   40.0000     0.0021
    6.000   1.002853   0.028535   0.010465   0.039001  -0.000000  -0.000000  -0.002318   0.000000   0.000000   40.0000    -0.0028
    6.500   1.044499   0.030819   0.010518   0.041338  -0.000000  -0.000000   0.005285   0.000000   0.000000   40.0000    -0.0073
    7.000   1.086014   0.033183   0.010661   0.043844  -0.000000  -0.000000   0.012884   0.000000   0.000000   40.0000    -0.0115
    7.500   1.127393   0.035625   0.010872   0.046497  -0.000000  -0.000000   0.020474   0.000000   0.000000   40.0000    -0.0155
    8.000   1.168631   0.038143   0.011143   0.049286  -0.000000  -0.000000   0.028054   0.000000   0.000000   40.0000    -0.0192
    8.500   1.209722   0.040736   0.011438   0.052174  -0.000000  -0.000000   0.035621   0.000000   0.000000   40.0000    -0.0227
    9.000   1.250661   0.043401   0.011722   0.055123  -0.000000  -0.000000   0.043174   0.000000   0.000000   40.0000    -0.0260
    9.500   1.291443   0.046138   0.012010   0.058148  -0.000000  -0.000000   0.050711   0.000000   0.000000   40.0000    -0.0291
   10.000   1.332064   0.048944   0.012344   0.061288  -0.000000  -0.000000   0.058231   0.000000   0.000000   40.0000    -0.0322


