xflr5 v6.10.03

Wing name :        Fwd sweep 02 10 washin
Wing polar name :  T1-40.0 m/s-VLM1-0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.500   0.320914   0.003628   0.022662   0.026290  -0.000000  -0.000000  -0.070001   0.000000   0.000000   40.0000     0.1236
   -3.000   0.364754   0.004267   0.020632   0.024899  -0.000000  -0.000000  -0.063713  -0.000000   0.000000   40.0000     0.0989
   -2.500   0.408550   0.005007   0.018703   0.023710  -0.000000  -0.000000  -0.057438  -0.000000   0.000000   40.0000     0.0796
   -2.000   0.452294   0.005847   0.016803   0.022651  -0.000000  -0.000000  -0.051177  -0.000000   0.000000   40.0000     0.0640
   -1.500   0.495976   0.006788   0.014543   0.021331  -0.000000   0.000000  -0.044935  -0.000000   0.000000   40.0000     0.0511
   -1.000   0.539589   0.007827   0.012285   0.020112  -0.000000  -0.000000  -0.038709  -0.000000  -0.000000   40.0000     0.0404
   -0.500   0.583123   0.008966   0.011088   0.020055  -0.000000   0.000000  -0.032498  -0.000000   0.000000   40.0000     0.0312
    0.000   0.626571   0.010203   0.010659   0.020863  -0.000000  -0.000000  -0.026306   0.000000   0.000000   40.0000     0.0233
    0.500   0.669923   0.011538   0.010464   0.022002  -0.000000  -0.000000  -0.020135   0.000000   0.000000   40.0000     0.0165
    1.000   0.713171   0.012970   0.010380   0.023350  -0.000000  -0.000000  -0.013987   0.000000   0.000000   40.0000     0.0105
    1.500   0.756307   0.014498   0.010372   0.024869  -0.000000   0.000000  -0.007864   0.000000   0.000000   40.0000     0.0051
    2.000   0.799323   0.016121   0.010410   0.026530  -0.000000   0.000000  -0.001768   0.000000   0.000000   40.0000     0.0004
    2.500   0.842210   0.017838   0.010521   0.028359  -0.000000   0.000000   0.004298  -0.000000  -0.000000   40.0000    -0.0039


