xflr5 v6.10.03

Wing name :        Fwd sweep 02 10 washout
Wing polar name :  T1-40.0 m/s-VLM1-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    3.000   0.616137   0.014431   0.012878   0.027309   0.000000  -0.000000  -0.101755   0.000000  -0.000000   40.0000     0.0903
    3.500   0.659193   0.016047   0.012325   0.028372   0.000000  -0.000000  -0.095531  -0.000000  -0.000000   40.0000     0.0788
    4.000   0.702124   0.017756   0.011864   0.029619   0.000000  -0.000000  -0.089329  -0.000000  -0.000000   40.0000     0.0687
    4.500   0.744924   0.019557   0.011475   0.031032   0.000000  -0.000000  -0.083147  -0.000000  -0.000000   40.0000     0.0598
    5.000   0.787584   0.021448   0.011125   0.032573   0.000000   0.000000  -0.076989   0.000000   0.000000   40.0000     0.0519
    5.500   0.830096   0.023428   0.010902   0.034330   0.000000   0.000000  -0.070851  -0.000000  -0.000000   40.0000     0.0448
    6.000   0.872452   0.025497   0.010745   0.036243   0.000000  -0.000000  -0.064737  -0.000000  -0.000000   40.0000     0.0384
    6.500   0.914644   0.027652   0.010646   0.038298   0.000000  -0.000000  -0.058651  -0.000000  -0.000000   40.0000     0.0326
    7.000   0.956664   0.029893   0.010620   0.040512   0.000000   0.000000  -0.052591   0.000000   0.000000   40.0000     0.0273
    7.500   0.998505   0.032217   0.010691   0.042908   0.000000   0.000000  -0.046560   0.000000   0.000000   40.0000     0.0225
    8.000   1.040159   0.034622   0.010816   0.045438   0.000000  -0.000000  -0.040562   0.000000   0.000000   40.0000     0.0180
    8.500   1.081618   0.037109   0.010997   0.048106   0.000000  -0.000000  -0.034601   0.000000   0.000000   40.0000     0.0139
    9.000   1.122875   0.039673   0.011206   0.050880   0.000000  -0.000000  -0.028676   0.000000  -0.000000   40.0000     0.0101
    9.500   1.163923   0.042315   0.011415   0.053730   0.000000  -0.000000  -0.022788   0.000000   0.000000   40.0000     0.0066
   10.000   1.204754   0.045031   0.011613   0.056645   0.000000  -0.000000  -0.016940   0.000000   0.000000   40.0000     0.0033


