xflr5 v6.10.03

Wing name :        Fwd sweep 02 25 washin
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.500   0.218871   0.001284   0.026294   0.027578  -0.000000   0.000000  -0.106672   0.000000   0.000000   40.0000     0.2893
   -3.000   0.262808   0.001812   0.023878   0.025690  -0.000000   0.000000  -0.098648   0.000000   0.000000   40.0000     0.2272
   -2.500   0.306713   0.002441   0.021528   0.023969  -0.000000   0.000000  -0.090600   0.000000   0.000000   40.0000     0.1830
   -2.000   0.350577   0.003172   0.019107   0.022279  -0.000000   0.000000  -0.082524   0.000000   0.000000   40.0000     0.1498
   -1.500   0.394391   0.004003   0.016515   0.020518  -0.000000   0.000000  -0.074421   0.000000   0.000000   40.0000     0.1241
   -1.000   0.438146   0.004934   0.013752   0.018686  -0.000000   0.000000  -0.066295   0.000000   0.000000   40.0000     0.1034
   -0.500   0.481835   0.005965   0.011616   0.017581  -0.000000   0.000000  -0.058181   0.000000   0.000000   40.0000     0.0866
    0.000   0.525447   0.007096   0.010813   0.017909  -0.000000   0.000000  -0.050110   0.000000   0.000000   40.0000     0.0725
    0.500   0.568976   0.008325   0.010498   0.018823  -0.000000  -0.000000  -0.042045   0.000000   0.000000   40.0000     0.0606
    1.000   0.612412   0.009651   0.010320   0.019971  -0.000000  -0.000000  -0.033971   0.000000   0.000000   40.0000     0.0504
    1.500   0.655746   0.011075   0.010203   0.021279  -0.000000   0.000000  -0.025887  -0.000000   0.000000   40.0000     0.0415
    2.000   0.698972   0.012596   0.010150   0.022745  -0.000000  -0.000000  -0.017796   0.000000   0.000000   40.0000     0.0338
    2.500   0.742079   0.014211   0.010139   0.024351  -0.000000   0.000000  -0.009700  -0.000000   0.000000   40.0000     0.0269
    3.000   0.785060   0.015921   0.010156   0.026077  -0.000000   0.000000  -0.001601  -0.000000  -0.000000   40.0000     0.0209
    3.500   0.827907   0.017724   0.010190   0.027914  -0.000000  -0.000000   0.006499  -0.000000   0.000000   40.0000     0.0154
    4.000   0.870611   0.019619   0.010217   0.029836  -0.000000  -0.000000   0.014600   0.000000   0.000000   40.0000     0.0105
    4.500   0.913165   0.021605   0.010251   0.031856  -0.000000  -0.000000   0.022698  -0.000000  -0.000000   40.0000     0.0060
    5.000   0.955560   0.023681   0.010291   0.033972  -0.000000  -0.000000   0.030792  -0.000000   0.000000   40.0000     0.0019
    5.500   0.997788   0.025845   0.010351   0.036196   0.000000   0.000000   0.038879  -0.000000  -0.000000   40.0000    -0.0018
    6.000   1.039841   0.028096   0.010458   0.038554   0.000000   0.000000   0.046957   0.000000   0.000000   40.0000    -0.0052
    6.500   1.081712   0.030432   0.010634   0.041066   0.000000   0.000000   0.055023   0.000000   0.000000   40.0000    -0.0083
    7.000   1.123393   0.032852   0.010894   0.043746  -0.000000  -0.000000   0.063074  -0.000000  -0.000000   40.0000    -0.0113
    7.500   1.164876   0.035354   0.011215   0.046568  -0.000000  -0.000000   0.071109   0.000000   0.000000   40.0000    -0.0140
    8.000   1.206153   0.037936   0.011571   0.049507  -0.000000  -0.000000   0.079123   0.000000   0.000000   40.0000    -0.0165
    8.500   1.247218   0.040597   0.011959   0.052556  -0.000000   0.000000   0.087114  -0.000000  -0.000000   40.0000    -0.0189


