xflr5 v6.10.03

Wing name :        Basis lunate fwd sweep 02
Wing polar name :  T1-40.0 m/s-VLM2-0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.500   0.183325   0.000971   0.028994   0.029966  -0.000000   0.000000  -0.126119   0.000000   0.000000   40.0000     0.3861
   -3.000   0.227216   0.001455   0.026033   0.027489  -0.000000   0.000000  -0.119737   0.000000   0.000000   40.0000     0.2956
   -2.500   0.271082   0.002040   0.023474   0.025514  -0.000000   0.000000  -0.113375   0.000000   0.000000   40.0000     0.2345
   -2.000   0.314913   0.002726   0.021088   0.023814  -0.000000   0.000000  -0.107024   0.000000   0.000000   40.0000     0.1904
   -1.500   0.358701   0.003512   0.018470   0.021982  -0.000000   0.000000  -0.100684   0.000000   0.000000   40.0000     0.1570
   -1.000   0.402438   0.004399   0.015183   0.019582  -0.000000   0.000000  -0.094358   0.000000   0.000000   40.0000     0.1310
   -0.500   0.446114   0.005385   0.012223   0.017608  -0.000000   0.000000  -0.088049   0.000000   0.000000   40.0000     0.1100
    0.000   0.489722   0.006470   0.011005   0.017475  -0.000000   0.000000  -0.081757   0.000000   0.000000   40.0000     0.0928
    0.500   0.533253   0.007654   0.010593   0.018247  -0.000000   0.000000  -0.075478   0.000000   0.000000   40.0000     0.0784
    1.000   0.576698   0.008936   0.010417   0.019352  -0.000000   0.000000  -0.069215  -0.000000   0.000000   40.0000     0.0662
    1.500   0.620049   0.010315   0.010304   0.020619  -0.000000   0.000000  -0.062969  -0.000000   0.000000   40.0000     0.0557
    2.000   0.663298   0.011790   0.010266   0.022056  -0.000000   0.000000  -0.056741   0.000000   0.000000   40.0000     0.0466
    2.500   0.706435   0.013361   0.010220   0.023582  -0.000000   0.000000  -0.050537   0.000000   0.000000   40.0000     0.0386
    3.000   0.749454   0.015027   0.010206   0.025233  -0.000000   0.000000  -0.044356   0.000000   0.000000   40.0000     0.0315
    3.500   0.792345   0.016787   0.010222   0.027009  -0.000000   0.000000  -0.038201   0.000000   0.000000   40.0000     0.0252
    4.000   0.835101   0.018639   0.010222   0.028861  -0.000000   0.000000  -0.032074   0.000000   0.000000   40.0000     0.0195
    4.500   0.877712   0.020582   0.010229   0.030812  -0.000000   0.000000  -0.025975   0.000000   0.000000   40.0000     0.0144
    5.000   0.920172   0.022616   0.010249   0.032865  -0.000000   0.000000  -0.019907   0.000000   0.000000   40.0000     0.0098
    5.500   0.962472   0.024738   0.010271   0.035009  -0.000000   0.000000  -0.013871   0.000000   0.000000   40.0000     0.0055
    6.000   1.004604   0.026948   0.010304   0.037252  -0.000000   0.000000  -0.007869   0.000000   0.000000   40.0000     0.0017
    6.500   1.046560   0.029244   0.010378   0.039622  -0.000000   0.000000  -0.001901   0.000000   0.000000   40.0000    -0.0019
    7.000   1.088333   0.031625   0.010541   0.042165  -0.000000   0.000000   0.004032  -0.000000   0.000000   40.0000    -0.0052
    7.500   1.129915   0.034088   0.010812   0.044900  -0.000000   0.000000   0.009930  -0.000000   0.000000   40.0000    -0.0082
    8.000   1.171298   0.036633   0.011141   0.047774  -0.000000   0.000000   0.015788  -0.000000   0.000000   40.0000    -0.0111
    8.500   1.212475   0.039258   0.011505   0.050763  -0.000000   0.000000   0.021602   0.000000   0.000000   40.0000    -0.0137
    9.000   1.253438   0.041960   0.011862   0.053822  -0.000000   0.000000   0.027373   0.000000   0.000000   40.0000    -0.0162
    9.500   1.294180   0.044739   0.012200   0.056939  -0.000000   0.000000   0.033099   0.000000   0.000000   40.0000    -0.0185
   10.000   1.334695   0.047592   0.012580   0.060172  -0.000000   0.000000   0.038780  -0.000000   0.000000   40.0000    -0.0206


